Javaバージョン	JEP URL	Title	Type	Component
9	https://openjdk.org/jeps/262	JEP 262: TIFF Image I/O	Feature	client-libs / javax.imageio
9	https://openjdk.org/jeps/263	JEP 263: HiDPI Graphics on Windows and Linux	Feature	client-libs / java.awt
9	https://openjdk.org/jeps/264	JEP 264: Platform Logging API and Service	Feature	core-libs / java.util.logging
9	https://openjdk.org/jeps/265	JEP 265: Marlin Graphics Renderer	Feature	client-libs / 2d
9	https://openjdk.org/jeps/266	JEP 266: More Concurrency Updates	Feature	core-libs / java.util.concurrent
9	https://openjdk.org/jeps/267	JEP 267: Unicode 8.0	Feature	core-libs / java.lang
9	https://openjdk.org/jeps/268	JEP 268: XML Catalogs	Feature	xml / jaxp
9	https://openjdk.org/jeps/269	JEP 269: Convenience Factory Methods for Collections	Feature	core-libs / java.util:collections
9	https://openjdk.org/jeps/270	JEP 270: Reserved Stack Areas for Critical Sections	Feature	hotspot / runtime
9	https://openjdk.org/jeps/271	JEP 271: Unified GC Logging	Feature	hotspot / gc
9	https://openjdk.org/jeps/272	JEP 272: Platform-Specific Desktop Features	Feature	client-libs / java.awt
9	https://openjdk.org/jeps/273	JEP 273: DRBG-Based SecureRandom Implementations	Feature	security-libs / java.security
9	https://openjdk.org/jeps/274	JEP 274: Enhanced Method Handles	Feature	core-libs / java.lang.invoke
9	https://openjdk.org/jeps/275	JEP 275: Modular Java Application Packaging	Feature	deploy / packager
9	https://openjdk.org/jeps/276	JEP 276: Dynamic Linking of Language-Defined Object Models	Feature	core-libs / java.lang.invoke
9	https://openjdk.org/jeps/277	JEP 277: Enhanced Deprecation	Feature	core-libs / java.lang
9	https://openjdk.org/jeps/278	JEP 278: Additional Tests for Humongous Objects in G1	Feature	hotspot / gc
9	https://openjdk.org/jeps/279	JEP 279: Improve Test-Failure Troubleshooting	Feature	-
9	https://openjdk.org/jeps/280	JEP 280: Indify String Concatenation	Feature	tools / javac
9	https://openjdk.org/jeps/281	JEP 281: HotSpot C++ Unit-Test Framework	Feature	hotspot / test
9	https://openjdk.org/jeps/282	JEP 282: jlink: The Java Linker	Feature	tools / jlink
9	https://openjdk.org/jeps/283	JEP 283: Enable GTK 3 on Linux	Feature	javafx / window-toolkit
9	https://openjdk.org/jeps/284	JEP 284: New HotSpot Build System	Infrastructure	infrastructure / build
9	https://openjdk.org/jeps/285	JEP 285: Spin-Wait Hints	Feature	core-libs / java.lang
9	https://openjdk.org/jeps/287	JEP 287: SHA-3 Hash Algorithms	Feature	security-libs / java.security
9	https://openjdk.org/jeps/288	JEP 288: Disable SHA-1 Certificates	Feature	security-libs / java.security
9	https://openjdk.org/jeps/289	JEP 289: Deprecate the Applet API	Feature	client-libs
9	https://openjdk.org/jeps/290	JEP 290: Filter Incoming Serialization Data	Feature	core-libs / java.io:serialization
9	https://openjdk.org/jeps/291	JEP 291: Deprecate the Concurrent Mark Sweep (CMS) Garbage Collector	Feature	hotspot / gc
9	https://openjdk.org/jeps/292	JEP 292: Implement Selected ECMAScript 6 Features in Nashorn	Feature	core-libs / jdk.nashorn
9	https://openjdk.org/jeps/294	JEP 294: Linux/s390x Port	Feature	hotspot / compiler
9	https://openjdk.org/jeps/295	JEP 295: Ahead-of-Time Compilation	Feature	hotspot / compiler
9	https://openjdk.org/jeps/297	JEP 297: Unified arm32/arm64 Port	Feature	hotspot / compiler
9	https://openjdk.org/jeps/298	JEP 298: Remove Demos and Samples	Feature	infrastructure
9	https://openjdk.org/jeps/299	JEP 299: Reorganize Documentation	Infrastructure	docs
18	https://openjdk.org/jeps/400	JEP 400: UTF-8 by Default	Feature	core-libs / java.nio.charsets
18	https://openjdk.org/jeps/408	JEP 408: Simple Web Server	Feature	core-libs / java.net
18	https://openjdk.org/jeps/413	JEP 413: Code Snippets in Java API Documentation	Feature	tools / javadoc(tool)
18	https://openjdk.org/jeps/416	JEP 416: Reimplement Core Reflection with Method Handles	Feature	core-libs / java.lang:reflect
18	https://openjdk.org/jeps/417	JEP 417: Vector API (Third Incubator)	Feature	core-libs
18	https://openjdk.org/jeps/418	JEP 418: Internet-Address Resolution SPI	Feature	core-libs / java.net
18	https://openjdk.org/jeps/419	JEP 419: Foreign Function & Memory API (Second Incubator)	Feature	core-libs
18	https://openjdk.org/jeps/420	JEP 420: Pattern Matching for switch (Second Preview)	Feature	specification / language
